id,kode,path,nama
201,"imgw-message","/imgw/message","IM-Message"
213,"imgw-message-act","/imgw/message/{act}/act","IM-Message List"
202,"imgw-message-add","/imgw/message/add","IM-Message Add"
203,"imgw-message-resend","/imgw/message/resend","IM-Message Resend"
204,"imgw-broadcast","/imgw/broadcast","IM-Broadcast"
214,"imgw-broadcast-act","/imgw/broadcast/{act}/act","IM-Broadcast List"
205,"imgw-broadcast-penerima","/imgw/broadcast/penerima","IM-Broadcast Receiver"
206,"imgw-broadcast-file","/imgw/broadcast/file","IM-Broadcast File"
207,"imgw-agent","/imgw/agent","IM-Agent"
212,"imgw-agent-act","/imgw/agent/{act}/act","Action"
208,"imgw-agent-add","/imgw/agent/add","IM-Agent Add"
209,"imgw-agent-edit","/imgw/agent/{id}/edit","IM-Agent Edit"
210,"imgw-agent-delete","/imgw/agent/{id}/delete","IM-Agent Delete"
211,"imgw-sms","imgw-sms","IM-SMS"